,Position,Player,Age,Conference,PPG,RPG,APG,BPG,SPG,GP,W%
244,F/C,Carmelo Anthony 2019-20,35,West,16.5357,6.25,1.3571,0.5357,0.9643,28.0,0.4186
245,F/C,OG Anunoby 2019-20,22,East,11.425,5.8,1.7,0.675,1.175,40.0,0.6585
246,F/C,Trevor Ariza 2019-20,34,West,6.0,4.5625,1.5625,0.2188,1.0938,32.0,0.3659
247,F/C,Deandre Ayton 2019-20,21,West,16.8182,12.0,1.8182,1.6364,0.4545,11.0,0.4146
248,F/C,Marvin Bagley 2019-20,20,West,13.9091,6.8182,0.6364,0.9091,0.3636,11.0,0.3659
249,F/C,Mo Bamba 2019-20,21,East,5.3421,5.3421,0.6316,1.2895,0.3947,38.0,0.4762
250,F/C,Harrison Barnes 2019-20,27,West,15.3902,4.878,2.2195,0.1463,0.6585,41.0,0.3659
251,F/C,Keita Bates-Diop 2019-20,24,West,7.1034,3.0345,0.5862,0.4828,0.4483,29.0,0.3659
252,F/C,Nicolas Batum 2019-20,31,East,3.55,4.4,2.95,0.4,0.8,20.0,0.3409
253,F/C,Aron Baynes 2019-20,33,West,11.7188,5.875,1.9063,0.5938,0.2188,32.0,0.4146
254,F/C,Darius Bazley 2019-20,19,West,4.119,3.5476,0.5,0.6667,0.3571,42.0,0.5476
255,F/C,Jordan Bell 2019-20,25,West,3.2083,3.0417,0.5833,0.375,0.0833,24.0,0.3659
256,F/C,DeAndre' Bembry 2019-20,25,East,5.9024,3.5854,1.9268,0.4634,1.2195,41.0,0.2381
257,F/C,Dragan Bender 2019-20,22,East,3.75,2.25,1.25,0.75,0.0,4.0,0.8605
258,F/C,Dāvis Bertāns 2019-20,27,East,15.2188,4.875,1.6875,0.625,0.6563,32.0,0.3171
259,F/C,Khem Birch 2019-20,27,East,3.8571,4.8929,1.0714,0.6429,0.5,28.0,0.4762
260,F/C,Goga Bitadze 2019-20,20,East,3.1212,2.303,0.5152,0.7576,0.0606,33.0,0.6429
261,F/C,Bismack Biyombo 2019-20,27,East,7.7317,6.0,0.878,0.8293,0.2195,41.0,0.3409
262,F/C,Nemanja Bjelica 2019-20,31,West,12.1951,6.561,2.5366,0.5854,0.9024,41.0,0.3659
263,F/C,Jonah Bolden 2019-20,24,East,1.0,0.0,0.0,0.0,0.5,2.0,0.6279
264,F/C,Chris Boucher 2019-20,27,East,6.1081,4.4595,0.4324,0.9189,0.3514,37.0,0.6585
265,F/C,Brian Bowen 2019-20,21,East,0.6667,0.3333,0.0,0.3333,0.0,3.0,0.6429
266,F/C,Tony Bradley 2019-20,22,West,4.3333,3.9667,0.3,0.4667,0.2667,30.0,0.6829
267,F/C,Jarrell Brantley 2019-20,23,West,0.0,2.0,0.5,1.0,0.0,2.0,0.6829
268,F/C,Ignas Brazdeikis 2019-20,21,East,1.8889,0.5556,0.4444,0.1111,0.0,9.0,0.2619
269,F/C,Oshae Brissett 2019-20,21,East,2.3077,1.5385,0.3077,0.0769,0.2308,13.0,0.6585
270,F/C,Ryan Broekhoff 2019-20,29,West,3.7,1.4,0.4,0.1,0.2,10.0,0.6429
271,F/C,Dillon Brooks 2019-20,24,West,15.381,3.2857,2.0476,0.381,0.9524,42.0,0.4762
272,F/C,Jaylen Brown 2019-20,23,East,19.9714,6.8571,2.2571,0.2571,1.1429,35.0,0.675
273,F/C,Moses Brown 2019-20,20,West,1.6667,1.6667,0.0,0.0,0.1667,6.0,0.4186
274,F/C,Thomas Bryant 2019-20,22,East,12.7143,7.619,2.381,0.8571,0.4286,21.0,0.3171
275,F/C,Jimmy Butler 2019-20,30,East,20.3056,7.0278,6.4167,0.5833,1.8889,36.0,0.7073
276,F/C,Bruno Caboclo 2019-20,24,West,2.8182,2.0,0.4545,0.5455,0.4545,22.0,0.4762
277,F/C,Vlatko Čančar 2019-20,22,West,0.5714,0.1429,0.2857,0.0,0.0,7.0,0.7073
278,F/C,Clint Capela 2019-20,25,West,14.5455,14.5152,1.2121,1.7273,0.9697,33.0,0.65
279,F/C,DeMarre Carroll 2019-20,33,West,2.2,2.0667,0.7333,0.1333,0.1333,15.0,0.425
280,F/C,Wendell Carter 2019-20,20,East,11.7027,9.8919,1.1892,0.8919,0.8108,37.0,0.3488
281,F/C,Willie Cauley-Stein 2019-20,26,West,7.8684,6.2632,1.3947,1.2368,1.1316,38.0,0.2093
282,F/C,Tyson Chandler 2019-20,37,West,1.4167,2.625,0.25,0.3333,0.25,24.0,0.65
283,F/C,Wilson Chandler 2019-20,32,East,6.2308,4.6154,1.2308,0.3846,0.5385,13.0,0.45
284,F/C,Zylan Cheatham 2019-20,24,West,1.3333,2.0,0.6667,0.3333,0.0,3.0,0.3721
285,F/C,Marquese Chriss 2019-20,22,West,7.2632,5.3421,1.8684,0.8947,0.6053,38.0,0.2093
286,F/C,Brandon Clarke 2019-20,23,West,12.3333,5.75,1.5,0.8889,0.4167,36.0,0.4762
287,F/C,Nicolas Claxton 2019-20,20,East,2.7,2.2,1.1,0.5,0.1,10.0,0.45
288,F/C,John Collins 2019-20,22,East,17.375,9.75,1.4375,2.125,0.75,16.0,0.2381
289,F/C,Zach Collins 2019-20,22,West,9.0,4.0,2.0,0.6667,0.0,3.0,0.4186
290,F/C,Tyler Cook 2019-20,22,East,2.125,0.875,0.125,0.0,0.125,8.0,0.2857
291,F/C,Robert Covington 2019-20,29,West,12.6,5.85,1.2,0.95,1.725,40.0,0.3659
292,F/C,Jae Crowder 2019-20,29,West,10.3846,6.1795,2.9231,0.359,1.0769,39.0,0.4762
293,F/C,Anthony Davis 2019-20,26,West,27.0857,9.4,3.2286,2.5714,1.5429,35.0,0.8049
294,F/C,Ed Davis 2019-20,30,West,1.2857,4.0,0.381,0.4286,0.4286,21.0,0.6829
295,F/C,Dewayne Dedmon 2019-20,30,West,4.9231,4.0,0.3462,0.4615,0.3462,26.0,0.3659
296,F/C,Cheick Diallo 2019-20,23,West,4.52,2.52,0.52,0.16,0.24,25.0,0.4146
297,F/C,Gorgui Dieng 2019-20,30,West,7.973,5.9459,1.4054,0.9459,0.8919,37.0,0.3659
298,F/C,Sekou Doumbouya 2019-20,19,East,8.0667,3.0667,0.4,0.2667,0.6,15.0,0.3571
299,F/C,Andre Drummond 2019-20,26,East,17.3,15.65,2.725,1.775,1.975,40.0,0.3571
300,F/C,Jared Dudley 2019-20,34,West,1.6786,1.0,0.6071,0.0714,0.3214,28.0,0.8049
301,F/C,Henry Ellenson 2019-20,23,East,0.4,1.2,0.2,0.0,0.0,5.0,0.45
302,F/C,Joel Embiid 2019-20,25,East,23.3871,12.3226,3.2903,1.3548,0.8065,31.0,0.6279
303,F/C,James Ennis 2019-20,29,East,6.439,3.439,0.9024,0.3171,0.4878,41.0,0.6279
304,F/C,Drew Eubanks 2019-20,22,West,3.0,2.2857,0.2857,0.1429,0.0,7.0,0.425
305,F/C,Tacko Fall 2019-20,24,East,4.25,2.5,0.0,0.5,0.0,4.0,0.675
306,F/C,Derrick Favors 2019-20,28,West,9.76,10.12,2.08,1.12,0.6,25.0,0.3721
307,F/C,Cristiano Felício 2019-20,27,East,1.6667,1.3333,0.0,0.0,0.0,3.0,0.3488
308,F/C,Bruno Fernando 2019-20,21,East,3.7297,3.0811,1.0,0.3243,0.2432,37.0,0.2381
309,F/C,Dorian Finney-Smith 2019-20,26,West,9.3095,5.2619,1.3333,0.5,0.6905,42.0,0.6429
310,F/C,Wenyen Gabriel 2019-20,22,West,1.7273,0.9091,0.2727,0.1818,0.2727,11.0,0.3659
311,F/C,Daniel Gafford 2019-20,21,East,4.7813,2.4063,0.4375,1.3125,0.2813,32.0,0.3488
312,F/C,Danilo Gallinari 2019-20,31,West,19.0,5.5556,2.3056,0.1111,0.6667,36.0,0.5476
313,F/C,Marc Gasol 2019-20,35,East,7.3448,6.5517,3.5517,1.069,0.8621,29.0,0.6585
314,F/C,Rudy Gay 2019-20,33,West,10.7436,5.8462,1.8205,0.5897,0.4872,39.0,0.425
315,F/C,Paul George 2019-20,29,West,23.4615,5.9615,3.7308,0.4615,1.4615,26.0,0.6977
316,F/C,Taj Gibson 2019-20,34,East,4.9744,4.2821,1.0,0.359,0.5641,39.0,0.2619
317,F/C,Harry Giles 2019-20,21,West,5.0625,2.8125,1.125,0.25,0.5625,16.0,0.3659
318,F/C,Rudy Gobert 2019-20,27,West,15.0,14.4615,1.6923,1.9231,0.7179,39.0,0.6829
319,F/C,Aaron Gordon 2019-20,24,East,13.6389,7.3056,2.8056,0.5556,0.6944,36.0,0.4762
320,F/C,Jerami Grant 2019-20,25,West,9.9756,3.1951,0.9512,0.7073,0.4634,41.0,0.7073
321,F/C,Draymond Green 2019-20,29,West,8.4375,6.3438,5.625,0.7813,1.5,32.0,0.2093
322,F/C,JaMychal Green 2019-20,29,West,6.7647,6.4118,0.7059,0.4118,0.4706,34.0,0.6977
323,F/C,Javonte Green 2019-20,26,East,2.9063,1.4688,0.2813,0.125,0.3438,32.0,0.675
324,F/C,Jeff Green 2019-20,33,West,7.7667,2.7,0.6667,0.3333,0.4,30.0,0.6829
325,F/C,Blake Griffin 2019-20,30,East,15.5,4.6667,3.2778,0.3889,0.3889,18.0,0.3571
326,F/C,Rui Hachimura 2019-20,21,East,13.92,5.8,1.6,0.12,0.72,25.0,0.3171
327,F/C,Maurice Harkless 2019-20,26,West,5.5238,4.0238,0.9762,0.6667,1.0476,42.0,0.6977
328,F/C,Montrezl Harrell 2019-20,26,West,19.3095,7.119,1.8095,1.0714,0.6667,42.0,0.6977
329,F/C,Tobias Harris 2019-20,27,East,19.4651,6.6744,3.0,0.5814,0.814,43.0,0.6279
330,F/C,Isaiah Hartenstein 2019-20,21,West,5.4444,4.6111,0.8889,0.6667,0.4444,18.0,0.65
331,F/C,Udonis Haslem 2019-20,39,East,2.5,1.5,0.0,0.0,0.0,2.0,0.7073
332,F/C,Jaxson Hayes 2019-20,19,West,8.825,4.725,1.0,1.175,0.525,40.0,0.3721
333,F/C,Gordon Hayward 2019-20,29,East,16.0417,5.9167,3.9583,0.4167,0.7083,24.0,0.675
334,F/C,John Henson 2019-20,29,East,4.8571,3.8095,1.4286,1.1905,0.5714,21.0,0.2857
335,F/C,Dewan Hernandez 2019-20,23,East,1.0,1.75,0.0,0.0,0.25,4.0,0.6585
336,F/C,Juan Hernangómez 2019-20,24,West,2.8846,2.3846,0.6923,0.1154,0.0769,26.0,0.7073
337,F/C,Willy Hernangómez 2019-20,25,East,4.4,2.8,0.3333,0.2667,0.0667,15.0,0.3409
338,F/C,Kevin Hervey 2019-20,23,West,0.0,0.6667,0.3333,0.0,0.0,3.0,0.5476
339,F/C,Mario Hezonja 2019-20,24,West,4.6129,3.8387,0.871,0.129,0.5806,31.0,0.4186
340,F/C,Solomon Hill 2019-20,28,West,5.75,3.175,1.975,0.15,0.725,40.0,0.4762
341,F/C,Jaylen Hoard 2019-20,20,West,2.4,1.8,0.2,0.0,0.4,10.0,0.4186
342,F/C,Justin Holiday 2019-20,30,East,7.881,3.381,1.5238,0.5476,0.9762,42.0,0.6429
343,F/C,Rondae Hollis-Jefferson 2019-20,25,East,8.1515,5.0909,1.6364,0.3636,0.9091,33.0,0.6585
344,F/C,Richaun Holmes 2019-20,26,West,13.0811,8.4865,1.0,1.4054,1.0541,37.0,0.3659
345,F/C,Al Horford 2019-20,33,East,12.6667,6.5385,3.9487,0.9744,0.9744,39.0,0.6279
346,F/C,Dwight Howard 2019-20,34,West,7.6829,7.4878,0.7073,1.439,0.3659,41.0,0.8049
347,F/C,De'Andre Hunter 2019-20,22,East,11.8293,3.7073,1.7073,0.2195,0.6341,41.0,0.2381
348,F/C,Serge Ibaka 2019-20,30,East,15.129,8.5161,1.2258,0.9032,0.4194,31.0,0.6585
349,F/C,Ersan İlyasova 2019-20,32,East,8.1026,5.3846,0.9744,0.3333,0.4103,39.0,0.8605
350,F/C,Joe Ingles 2019-20,32,West,11.1951,4.1463,4.6829,0.1463,0.9512,41.0,0.6829
351,F/C,Brandon Ingram 2019-20,22,West,25.6316,6.7895,4.3158,0.7895,0.9474,38.0,0.3721
352,F/C,Jonathan Isaac 2019-20,22,East,12.0,6.9375,1.375,2.4375,1.5625,32.0,0.4762
353,F/C,Wesley Iwundu 2019-20,25,East,5.0,2.7857,1.0,0.3214,0.6071,28.0,0.4762
354,F/C,Jaren Jackson 2019-20,20,West,17.7805,4.7561,1.4634,1.4146,0.7073,41.0,0.4762
355,F/C,LeBron James 2019-20,35,West,25.359,7.7179,10.8718,0.5128,1.2821,39.0,0.8049
356,F/C,Amile Jefferson 2019-20,26,East,0.8571,1.5,0.2857,0.2143,0.0,14.0,0.4762
357,F/C,Alize Johnson 2019-20,23,East,1.6364,1.3636,0.1818,0.0,0.0,11.0,0.6429
358,F/C,Cameron Johnson 2019-20,23,West,7.8158,3.0526,0.9474,0.3158,0.4474,38.0,0.4146
359,F/C,James Johnson 2019-20,32,East,5.6364,2.8182,0.7273,0.5455,0.2727,11.0,0.7073
360,F/C,Stanley Johnson 2019-20,23,East,1.4615,1.1538,0.2308,0.0769,0.2308,13.0,0.6585
361,F/C,Nikola Jokić 2019-20,24,West,19.2195,9.878,6.439,0.5854,0.9268,41.0,0.7073
362,F/C,Damian Jones 2019-20,24,East,6.2703,3.6757,0.6486,0.8108,0.3514,37.0,0.2381
363,F/C,Derrick Jones 2019-20,22,East,8.7407,4.2593,0.8889,0.7037,1.1481,27.0,0.7073
364,F/C,DeAndre Jordan 2019-20,31,East,7.973,9.7297,1.973,0.9459,0.4054,37.0,0.45
365,F/C,Mfiondu Kabengele 2019-20,22,West,2.9,0.8,0.1,0.1,0.1,10.0,0.6977
366,F/C,Frank Kaminsky 2019-20,26,West,11.0,4.9375,2.2188,0.3125,0.4063,32.0,0.4146
367,F/C,Enes Kanter 2019-20,27,East,9.1818,8.1818,1.0303,0.8788,0.4848,33.0,0.675
368,F/C,Stanton Kidd 2019-20,27,West,0.0,0.75,0.25,0.0,0.0,4.0,0.6829
369,F/C,Michael Kidd-Gilchrist 2019-20,26,East,4.0,2.9167,0.8333,0.25,0.0,12.0,0.3409
370,F/C,Louis King 2019-20,20,East,1.75,0.5,0.25,0.0,0.25,4.0,0.3571
371,F/C,Maxi Kleber 2019-20,28,West,9.0976,5.4146,1.0244,0.9024,0.3171,41.0,0.6429
372,F/C,Kevin Knox 2019-20,20,East,7.5854,3.1951,1.0976,0.4146,0.4878,41.0,0.2619
373,F/C,Luke Kornet 2019-20,24,East,3.7826,1.8261,0.5652,0.8261,0.2609,23.0,0.3488
374,F/C,Rodions Kurucs 2019-20,21,East,4.2,2.6,0.88,0.08,0.4,25.0,0.45
375,F/C,Kyle Kuzma 2019-20,24,West,12.875,3.8125,1.0625,0.4063,0.3125,32.0,0.8049
376,F/C,Skal Labissière 2019-20,23,West,5.7576,5.1212,1.2727,0.9394,0.2121,33.0,0.4186
377,F/C,Jake Layman 2019-20,25,West,10.5,2.9286,0.7857,0.7143,0.8571,14.0,0.3659
378,F/C,T.J. Leaf 2019-20,22,East,3.0952,2.8095,0.2857,0.1429,0.3333,21.0,0.6429
379,F/C,Alex Len 2019-20,26,East,9.0,5.7632,1.1053,0.7895,0.4737,38.0,0.2381
380,F/C,Kawhi Leonard 2019-20,28,West,26.8788,7.2727,5.0606,0.5758,1.9697,33.0,0.6977
381,F/C,Meyers Leonard 2019-20,27,East,6.0976,4.9268,1.1707,0.3415,0.2439,41.0,0.7073
382,F/C,Nassir Little 2019-20,19,West,3.25,2.5938,0.4688,0.2813,0.25,32.0,0.4186
383,F/C,Kevon Looney 2019-20,23,West,2.6,2.9,0.4,0.2,0.3,10.0,0.2093
384,F/C,Brook Lopez 2019-20,31,East,10.1463,4.7317,1.4878,2.4878,0.7317,41.0,0.8605
385,F/C,Robin Lopez 2019-20,31,East,5.5476,2.7381,0.6667,0.6905,0.1429,42.0,0.8605
386,F/C,Kevin Love 2019-20,31,East,17.0857,10.3143,2.8571,0.3714,0.5429,35.0,0.2857
387,F/C,Timothé Luwawu-Cabarrot 2019-20,24,East,4.6667,2.3333,0.6667,0.0556,0.5,18.0,0.45
388,F/C,Trey Lyles 2019-20,24,West,4.65,5.85,1.225,0.375,0.275,40.0,0.425
389,F/C,Ian Mahinmi 2019-20,33,East,7.7619,5.8571,1.4286,1.381,0.8571,21.0,0.3171
390,F/C,Thon Maker 2019-20,22,East,3.725,2.0,0.4,0.55,0.325,40.0,0.3571
391,F/C,Boban Marjanović 2019-20,31,West,6.1429,4.5238,0.381,0.1429,0.1429,21.0,0.6429
392,F/C,Lauri Markkanen 2019-20,22,East,14.9767,6.5349,1.5814,0.5116,0.8372,43.0,0.3488
393,F/C,Caleb Martin 2019-20,24,East,1.8,1.0,0.6,0.4,0.2,5.0,0.3409
394,F/C,Kelan Martin 2019-20,24,West,5.7647,3.4118,0.5294,0.2941,0.1765,17.0,0.3659
395,F/C,Jalen McDaniels 2019-20,22,East,2.0,0.5,0.0,0.0,0.0,2.0,0.3409
396,F/C,Doug McDermott 2019-20,28,East,9.6667,2.7619,1.0714,0.0952,0.1429,42.0,0.6429
397,F/C,JaVale McGee 2019-20,32,West,7.0244,5.878,0.7073,1.6829,0.5854,41.0,0.8049
398,F/C,Alfonzo McKinnie 2019-20,27,East,3.5,2.5357,0.3214,0.1786,0.5357,28.0,0.2857
399,F/C,Nicolò Melli 2019-20,29,West,5.5,2.3125,0.9688,0.1563,0.625,32.0,0.3721
400,F/C,Chimezie Metu 2019-20,22,West,2.7273,1.5455,0.2727,0.2727,0.0909,11.0,0.425
401,F/C,Khris Middleton 2019-20,28,East,19.3611,5.7222,3.8056,0.1667,0.9722,36.0,0.8605
402,F/C,Malcolm Miller 2019-20,26,East,0.9524,0.6667,0.381,0.0952,0.1905,21.0,0.6585
403,F/C,Paul Millsap 2019-20,34,West,11.875,5.8125,1.4063,0.6875,0.875,32.0,0.7073
404,F/C,Juwan Morgan 2019-20,22,West,0.5714,0.5714,0.1429,0.1429,0.0,7.0,0.6829
405,F/C,Marcus Morris 2019-20,30,East,19.0,5.4706,1.5,0.4412,0.8529,34.0,0.2619
406,F/C,Markieff Morris 2019-20,30,East,10.8529,3.7941,1.5882,0.2353,0.6471,34.0,0.3571
407,F/C,Johnathan Motley 2019-20,24,West,1.2857,0.2857,0.7143,0.0,0.4286,7.0,0.6977
408,F/C,Mike Muscala 2019-20,28,West,4.1786,2.5,0.8929,0.2143,0.2143,28.0,0.5476
409,F/C,Abdel Nader 2019-20,26,West,6.1875,1.5938,0.75,0.3125,0.3438,32.0,0.5476
410,F/C,Larry Nance 2019-20,27,East,8.0303,6.8485,1.5455,0.4545,0.8485,33.0,0.2857
411,F/C,Georges Niang 2019-20,26,West,5.3429,1.9143,0.5714,0.1143,0.1714,35.0,0.6829
412,F/C,Nerlens Noel 2019-20,25,West,7.7429,5.1143,1.2,1.5714,1.0571,35.0,0.5476
413,F/C,Royce O'Neale 2019-20,26,West,6.3415,4.9756,2.4878,0.3415,0.8049,41.0,0.6829
414,F/C,Kyle O'Quinn 2019-20,29,East,3.35,3.8,1.5,0.85,0.2,20.0,0.6279
415,F/C,Semi Ojeleye 2019-20,25,East,2.6316,1.6842,0.5,0.0526,0.3158,38.0,0.675
416,F/C,Jahlil Okafor 2019-20,24,West,8.5,4.625,1.4583,0.7917,0.2083,24.0,0.3721
417,F/C,KZ Okpala 2019-20,20,East,0.0,0.3333,0.0,0.0,0.0,3.0,0.7073
418,F/C,Kelly Olynyk 2019-20,28,East,7.6216,4.5676,1.2703,0.2703,0.6486,37.0,0.7073
419,F/C,Cedi Osman 2019-20,24,East,10.8333,3.4762,2.0476,0.2857,0.8095,42.0,0.2857
420,F/C,Kelly Oubre 2019-20,24,West,18.3,6.325,1.6,0.75,1.475,40.0,0.4146
421,F/C,Jabari Parker 2019-20,24,East,15.0,5.9688,1.8125,0.4688,1.3125,32.0,0.2381
422,F/C,Chandler Parsons 2019-20,31,East,2.8,1.4,0.6,0.2,0.8,5.0,0.2381
423,F/C,Eric Paschall 2019-20,23,West,13.6842,4.4474,1.7368,0.2632,0.5263,38.0,0.2093
424,F/C,Patrick Patterson 2019-20,30,West,5.0,2.8158,0.7105,0.0789,0.1579,38.0,0.6977
425,F/C,Justin Patton 2019-20,22,West,1.8,1.0,0.4,0.0,0.0,5.0,0.5476
426,F/C,Norvel Pelle 2019-20,26,East,2.8333,3.5833,0.4167,1.4167,0.0833,12.0,0.6279
427,F/C,Mason Plumlee 2019-20,29,West,7.2683,5.6829,2.4634,0.6585,0.561,41.0,0.7073
428,F/C,Vincent Poirier 2019-20,26,East,1.5455,1.4545,0.2727,0.1818,0.1818,11.0,0.675
429,F/C,Jakob Pöltl 2019-20,24,West,5.05,5.675,1.875,1.475,0.5,40.0,0.425
430,F/C,Michael Porter 2019-20,21,West,6.6875,3.2188,0.5938,0.4375,0.2813,32.0,0.7073
431,F/C,Otto Porter 2019-20,26,East,11.2222,3.4444,1.5556,0.3333,1.0,9.0,0.3488
432,F/C,Bobby Portis 2019-20,24,East,10.0,5.7857,1.4762,0.2143,0.5238,42.0,0.2619
433,F/C,Kristaps Porziņģis 2019-20,24,West,17.2581,9.3871,1.4516,2.129,0.5806,31.0,0.6429
434,F/C,Dwight Powell 2019-20,28,West,9.6154,5.7436,1.4872,0.5641,0.8718,39.0,0.6429
435,F/C,Julius Randle 2019-20,25,East,19.025,9.125,3.25,0.225,0.8,40.0,0.2619
436,F/C,Cam Reddish 2019-20,20,East,8.5789,3.6842,1.6579,0.4737,1.1053,38.0,0.2381
437,F/C,Naz Reid 2019-20,20,West,8.5455,2.7273,0.9091,0.5455,0.3636,11.0,0.3659
438,F/C,Mitchell Robinson 2019-20,21,East,9.9211,6.6316,0.4737,1.7368,0.8947,38.0,0.2619
439,F/C,Terrence Ross 2019-20,28,East,13.325,2.925,0.95,0.3,1.1,40.0,0.4762
440,F/C,Domantas Sabonis 2019-20,23,East,17.8462,12.9231,4.2564,0.5897,0.8205,39.0,0.6429
441,F/C,Dario Šarić 2019-20,25,West,9.8049,6.2195,1.878,0.2683,0.6585,41.0,0.4146
442,F/C,Mike Scott 2019-20,31,East,5.6977,3.2326,0.6047,0.0698,0.3023,43.0,0.6279
443,F/C,Pascal Siakam 2019-20,25,East,24.1667,7.6,3.6,0.9,1.0,30.0,0.6585
444,F/C,Chris Silva 2019-20,23,East,3.4667,3.0667,0.5,0.5333,0.2,30.0,0.7073
445,F/C,Alen Smailagić 2019-20,19,West,4.6667,2.4444,0.8889,0.3333,0.1111,9.0,0.2093
446,F/C,Omari Spellman 2019-20,22,West,7.725,4.775,1.0,0.525,0.7,40.0,0.2093
447,F/C,Caleb Swanigan 2019-20,22,West,0.7143,1.0,0.2857,0.2857,0.1429,7.0,0.3659
448,F/C,Jayson Tatum 2019-20,21,East,21.2051,6.8718,2.8462,0.8462,1.3333,39.0,0.675
449,F/C,Daniel Theis 2019-20,27,East,7.5833,6.1111,1.4722,1.4167,0.6389,36.0,0.675
450,F/C,Tristan Thompson 2019-20,28,East,12.525,10.425,2.125,0.975,0.725,40.0,0.2857
451,F/C,Anthony Tolliver 2019-20,34,West,3.9091,3.3333,0.8788,0.2727,0.2424,33.0,0.4186
452,F/C,Karl-Anthony Towns 2019-20,24,West,26.5,11.4167,4.25,1.2083,1.0,24.0,0.3659
453,F/C,P.J. Tucker 2019-20,34,West,7.825,7.225,1.425,0.425,1.125,40.0,0.65
454,F/C,Rayjon Tucker 2019-20,22,West,1.375,1.0,0.25,0.0,0.125,8.0,0.6829
455,F/C,Myles Turner 2019-20,23,East,12.6176,6.0588,1.2647,2.0588,0.5588,34.0,0.6429
456,F/C,Jonas Valančiūnas 2019-20,27,West,15.0513,10.0256,2.0513,1.0513,0.3077,39.0,0.4762
457,F/C,Jarred Vanderbilt 2019-20,20,West,0.5,0.5,0.25,0.0,0.0,4.0,0.7073
458,F/C,Noah Vonleh 2019-20,24,West,4.25,4.1429,0.9286,0.2143,0.3929,28.0,0.3659
459,F/C,Nikola Vučević 2019-20,29,East,18.9032,11.0968,3.3226,0.9355,0.9032,31.0,0.4762
460,F/C,Dean Wade 2019-20,23,East,2.2857,2.1429,0.1429,0.4286,0.2857,7.0,0.2857
461,F/C,Moritz Wagner 2019-20,22,East,11.619,6.0476,1.3333,0.619,0.7143,21.0,0.3171
462,F/C,Taurean Waller-Prince 2019-20,25,East,12.25,6.625,2.05,0.425,0.925,40.0,0.45
463,F/C,T.J. Warren 2019-20,26,East,18.0714,3.8571,1.4048,0.4524,1.0238,42.0,0.6429
464,F/C,PJ Washington 2019-20,21,East,12.4103,5.4872,2.0256,0.8974,0.9487,39.0,0.3409
465,F/C,Yuta Watanabe 2019-20,25,West,1.75,1.25,0.0,0.25,0.0,4.0,0.4762
466,F/C,Hassan Whiteside 2019-20,30,West,15.7436,14.1026,1.2308,2.9231,0.3846,39.0,0.4186
467,F/C,Andrew Wiggins 2019-20,24,West,22.7273,4.9394,3.3333,0.9697,0.6667,33.0,0.3659
468,F/C,Grant Williams 2019-20,21,East,3.3158,2.3684,1.0526,0.4474,0.3684,38.0,0.675
469,F/C,Johnathan Williams 2019-20,24,East,5.5,6.3333,1.0,0.8333,0.1667,6.0,0.3171
470,F/C,Marvin Williams 2019-20,33,East,6.8611,2.6389,0.9444,0.4444,0.6944,36.0,0.3409
471,F/C,Robert Williams 2019-20,22,East,3.8947,4.5789,1.1053,1.1053,0.8947,19.0,0.675
472,F/C,D.J. Wilson 2019-20,23,East,3.3333,2.125,0.7083,0.1667,0.0,24.0,0.8605
473,F/C,Justise Winslow 2019-20,23,East,11.2727,6.6364,4.0,0.4545,0.6364,11.0,0.7073
474,F/C,Christian Wood 2019-20,24,East,9.5,5.2632,0.7105,0.8158,0.3421,38.0,0.3571
475,F/C,Thaddeus Young 2019-20,31,East,9.0238,4.5476,1.7619,0.2619,1.1429,42.0,0.3488
476,F/C,Cody Zeller 2019-20,27,East,11.5122,7.0,1.2439,0.4146,0.6098,41.0,0.3409
477,F/C,Ante Žižić 2019-20,23,East,4.3125,3.4375,0.1875,0.25,0.375,16.0,0.2857
478,F/C,Ivica Zubac 2019-20,22,West,8.1628,6.814,0.9302,0.9767,0.1628,43.0,0.6977
